city,latitude,longitude,temp_day,temp_night,feels_like_day,feels_like_night,clouds,wind_speed,humidity
Aigues Mortes,43.56580000000001,4.191299999999999,12.2225,9.1025,10.86375,6.8774999999999995,18.0,7.3175,51.5
Aix en Provence,43.52980000000001,5.447499999999999,11.0075,7.07,9.5525,5.864999999999999,17.375,3.71875,48.75
Amiens,49.894200000000005,2.2957,9.07875,6.813749999999999,7.352500000000001,4.92875,83.625,6.9350000000000005,80.5
Annecy,45.8992,6.128900000000001,7.605,3.0125,6.675000000000001,2.5687499999999996,58.75,2.145,69.875
Ariege,42.945499999999996,1.4066,5.679999999999999,0.25,4.25125,-1.7274999999999998,36.0,2.5962499999999995,58.0
Avignon,43.949200000000005,4.8059,10.825,7.5375,8.29875,3.45,28.125,11.419999999999998,55.75
Bayeux,49.2765,-0.7024999999999999,9.84375,7.477500000000001,7.8374999999999995,5.032500000000001,86.875,7.154999999999999,77.375
Bayonne,43.49329999999999,-1.4750999999999999,10.360000000000001,6.98125,9.44625,5.7162500000000005,36.75,3.21875,68.875
Besancon,47.238,6.0244,5.606249999999999,3.91125,4.1375,2.325,86.375,3.4800000000000004,76.25
Biarritz,43.47109999999999,-1.5527,9.9125,7.2325,8.92375,6.03625,37.5,3.44,69.75
Bormes les Mimosas,43.157199999999996,6.3293,11.963750000000001,8.601249999999999,10.763749999999998,7.13875,28.875,4.08,59.25
Carcassonne,43.21300000000001,2.3491,10.627500000000001,6.08875,8.44625,3.23,35.0,6.61125,62.375
Cassis,43.214,5.5396,12.15875,10.040000000000001,10.805,8.247499999999999,21.375,6.307500000000001,52.625
Chateau du Haut Koenigsbourg,48.249500000000005,7.344299999999999,2.9975,1.51,1.615,-0.06875000000000003,92.0,2.77875,73.25
Collioure,42.5251,3.0832000000000006,14.5275,10.315,13.247499999999999,8.384999999999998,15.0,8.7675,46.375
Colmar,48.07780000000001,7.357999999999999,6.19375,4.53,5.0075,2.97375,88.375,3.05,71.5
Dijon,47.3216,5.0415,5.8225,4.369999999999999,4.19125,2.48,84.25,3.5825,76.375
Eguisheim,48.0448,7.308,6.3825,4.59125,5.342499999999999,3.3150000000000004,87.875,2.84875,71.25
Gorges du Verdon,43.749700000000004,6.328600000000001,10.64375,3.08125,9.42875,1.6837499999999999,15.75,2.5549999999999997,36.875
Grenoble,45.1876,5.735799999999999,9.0325,4.0975,7.6049999999999995,2.9825,49.125,2.9525,67.0
La Rochelle,46.15910000000001,-1.1520000000000001,7.963749999999999,7.21375,6.00375,4.48125,73.625,5.2975,85.5
Le Havre,49.4939,0.108,8.6275,8.31625,6.06375,5.890000000000001,87.625,7.872500000000001,83.5
Lille,50.636599999999994,3.0635000000000003,9.094999999999999,6.72375,6.944999999999999,4.09,77.625,6.7775,77.875
Lyon,45.7578,4.832,7.077500000000001,5.13375,5.3999999999999995,3.7650000000000006,74.25,3.8474999999999997,69.875
Marseille,43.2962,5.369999999999999,11.665,9.87125,10.3225,7.70375,12.875,7.8875,55.0
Mont Saint Michel,48.63600000000001,-1.5115,10.14125,7.87875,8.68,6.08375,82.25,5.851249999999999,78.375
Montauban,44.01760000000001,1.3550000000000002,8.73875,5.699999999999999,7.017499999999999,3.90375,33.875,3.7,65.875
Nimes,43.8374,4.3601,12.32375,7.424999999999999,10.637500000000001,4.828749999999999,18.625,7.79375,47.125
Paris,48.8589,2.32,8.318750000000001,7.555,6.67125,6.021250000000001,85.625,4.47875,76.375
Rouen,49.44049999999999,1.094,9.3075,6.88375,7.842499999999999,5.45125,87.625,6.4262500000000005,80.375
Saintes Maries de la mer,43.452299999999994,4.4287,12.090000000000002,9.58625,10.5975,6.88375,24.125,10.47625,53.375
St Malo,48.649499999999996,-2.026,10.01125,8.6975,8.662500000000001,6.62875,82.625,7.09,78.5
Strasbourg,48.58460000000001,7.750700000000001,5.7325,4.728750000000001,3.33,2.0549999999999997,79.875,4.53625,68.75
Toulouse,43.6045,1.4442000000000002,9.21125,6.1187499999999995,7.38375,4.295,32.5,4.09625,64.375
Uzes,44.01209999999999,4.4197,11.5925,6.267499999999999,9.798749999999998,3.07875,31.625,8.631250000000001,48.625
